Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
etiquette bij avec fil blanc  lot  10x20000387,,papeterie,,pc,1050,1050,372,37,,,15507.jpg,,,,,,,
pochette air kraft blanc 270x360   autoc,,papeterie,,pc,400,400,63,6,,,15508.jpg,,,,,,,
pochette air kraft blanc 180x265â  autoc,,papeterie,,pc,200,200,9,1,,,15510.jpg,,,,,,,
pochette kraft radio 380x45x118 1866,,papeterie,,pc,350,350,1258,126,,,15511.jpg,,,,,,,
pochette air kraft blanc 120x215x2,,papeterie,,pc,150,150,34,3,,,15512.jpg,,,,,,,
enveloppe prestige 215x15x24,,papeterie,,pc,150,150,200,20,,,15513.jpg,,,,,,,
pochette kraft 229x24 a soufflet  90g,,papeterie,,pc,150,150,48,5,,,15514.jpg,,,,,,,
enveloppe kraft 280x365x1686,,papeterie,,pc,180,180,565,57,,,15516.jpg,,,,,,,
pochette kraft 280 275x365 aut adhes,,papeterie,,pc,175,175,2537,254,,,15517.jpg,,,,,,,
enveloppe prestige 19x23,,papeterie,,pc,150,150,75,8,,,15518.jpg,,,,,,,
enveloppe kraft 280x365,,papeterie,,pc,125,125,2124,212,,,15520.jpg,,,,,,,
enveloppe prestige 163x205x173,,papeterie,,pc,120,120,13,1,,,15521.jpg,,,,,,,
enveloppe blanche aut adhes 229x24,,papeterie,,pc,75,75,992,99,,,15523.jpg,,,,,,,
enveloppe kraft aut adhes 229x24,,papeterie,,pc,50,50,260,26,,,15524.jpg,,,,,,,
pochette blanche auto adhes a fenetre 229x24,,papeterie,,pc,60,60,8533,853,,,15526.jpg,,,,,,,
enveloppe kraft 229x24,,papeterie,,pc,70,70,250,25,,,15527.jpg,,,,,,,
pochette blanche aut adhes 229x24,,papeterie,,pc,90,90,29031,2903,,,15528.jpg,,,,,,,
enveloppe kraft 229x24x324k,,papeterie,,pc,95,95,5790,579,,,15530.jpg,,,,,,,
