Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
mouilleur 68mm ecolier teinte  eponge plastique,,papeterie,,pc,250,250,2273,228,,,2807.jpg,,,,,,,
agenda eurequart 24*30         impala assorties,,papeterie,,pc,15000,15000,1,1,,,2808.jpg,,,,,,,
agenda direction 24*24.   impala noir,,papeterie,,pc,16500,16500,15,2,,,2809.jpg,,,,,,,
carnet repertoire spirale 11*17 180pages,,papeterie,,pc,3400,3400,62,7,,,2810.jpg,,,,,,,
repertoire pique 17*22. 120pages 5*5,,papeterie,,pc,2500,2500,28,3,,,2811.jpg,,,,,,,
feuille mobile a-p a4 jaune 70grs paquet 50 seyes,,papeterie,,pc,1450,1450,330,33,,,2812.jpg,,,,,,,
feuille mobile a-p 17*22 blanc 90grs paquet 100 seyes,,papeterie,,pc,2150,2150,31,4,,,2813.jpg,,,,,,,
feuille mobile a-p 17*22 rose 70grs paquet 50 seyes,,papeterie,,pc,1500,1500,101,11,,,2814.jpg,,,,,,,
copie double a-p a4 70g 200pages paquet 50 seyes,,papeterie,,pc,1950,1950,356,36,,,2815.jpg,,,,,,,
copie double a-p 17*22 70grs 200pages paquet 50 seyes,,papeterie,,pc,1100,1100,1163,117,,,2816.jpg,,,,,,,
carnet spirale 148*210 180pages  q5*5    78-453,,papeterie,,pc,1950,1950,2,1,,,2818.jpg,,,,,,,
carnet pique 11*17 96pages q5*5,,papeterie,,pc,650,650,235,24,,,2819.jpg,,,,,,,
cahier travaux pratiques spirale a4 80pages 70-120grs seyes-uni,,papeterie,,pc,1900,1900,6,1,,,2820.jpg,,,,,,,
cahier travaux pratiques pique 24*32. 120pages70-120grs seyes-uni,,papeterie,,pc,2050,2050,1987,199,,,2821.jpg,,,,,,,
ephemeride date gauche bloc,,papeterie,,pc,1500,1500,796,80,,,2822.jpg,,,,,,,
cahier conquerant spirale 24*32 seyes,,papeterie,,pc,4450,4450,65,7,,,2824.jpg,,,,,,,
cahier spirale 24*32 180pages 70grs  q5*5,,papeterie,,pc,4350,4350,103,11,,,2825.jpg,,,,,,,
cahier spirale a4 180pages 70grs seyes,,papeterie,,pc,2200,2200,36,4,,,2826.jpg,,,,,,,
cahier spirale a4 100pages 70grs q5*5,,papeterie,,pc,1950,1950,1,1,,,2827.jpg,,,,,,,
cahier spirale 17*22 180pages 70grs seyes,,papeterie,,pc,2200,2200,1,1,,,2828.jpg,,,,,,,
cahier de dessin 17*22. 16pages 88grs q10*10,,papeterie,,pc,500,500,4,1,,,2829.jpg,,,,,,,
cahier broche 24*32 192pages 70grs seyes,,papeterie,,pc,3700,3700,710,71,,,2830.jpg,,,,,,,
cahier broche 24*32 192pages 70grs q5*5,,papeterie,,pc,3900,3900,726,73,,,2831.jpg,,,,,,,
cahier broche a4 192pages 70grs seyes,,papeterie,,pc,2600,2600,652,66,,,2833.jpg,,,,,,,
cahier broche a4 192pages 70grs q5*5,,papeterie,,pc,2600,2600,906,91,,,2834.jpg,,,,,,,
